,alignment_name,accepted_name,coevol
269,Eucalyptus_parvula_164,Eucalyptus_parvula,E_parvula
270,Eucalyptus_quinniorum_9707932,Eucalyptus_quinniorum,E_quinniorum
271,Eucalyptus_brookeriana_subsp_brookeriana_617,Eucalyptus_brookeriana,E_brookeriana
272,Eucalyptus_pulverulenta_684,Eucalyptus_pulverulenta,E_pulverulenta
273,Eucalyptus_badjensis_166,Eucalyptus_badjensis,E_badjensis
274,Eucalyptus_benthamii_423,Eucalyptus_benthamii,E_benthamii
275,Eucalyptus_cinerea_subsp_triplex_8703938,Eucalyptus_cinerea,E_cinerea
276,Eucalyptus_cephalocarpa_178,Eucalyptus_cephalocarpa,E_cephalocarpa
277,Eucalyptus_brunnea_619,NA,NA
278,Eucalyptus_fulgens_9707943,Eucalyptus_fulgens,E_fulgens
279,Eucalyptus_glaucescens_218,Eucalyptus_glaucescens,E_glaucescens
280,Eucalyptus_denticulata_378,Eucalyptus_denticulata,E_denticulata
281,Eucalyptus_nicholii_209,Eucalyptus_nicholii,E_nicholii
282,Eucalyptus_macarthurii_ANBG_no_sn,Eucalyptus_macarthurii,E_macarthurii
283,Eucalyptus_mannifera_subsp_mannifera_610,Eucalyptus_mannifera,E_mannifera
284,Eucalyptus_dalrympleana_subsp_dalrympleana_ANBG_7804378,Eucalyptus_dalrympleana,E_dalrympleana
285,Eucalyptus_gunnii_ANBG_656505,Eucalyptus_gunnii,E_gunnii
286,Eucalyptus_elaeophloia_372,Eucalyptus_elaeophloia,E_elaeophloia
287,Eucalyptus_viminalis_subsp_viminalis_615,Eucalyptus_viminalis,E_viminalis
288,Eucalyptus_goniocalyx_subsp_goniocalyx_669,Eucalyptus_goniocalyx,E_goniocalyx
289,Eucalyptus_nortonii_664,Eucalyptus_nortonii,E_nortonii
290,Eucalyptus_splendens_subsp_splendens_303,Eucalyptus_splendens,E_splendens
291,Eucalyptus_kartzoffiana_152,Eucalyptus_kartzoffiana,E_kartzoffiana
292,Eucalyptus_strzeleckii_subsp_strzeleckii_162,Eucalyptus_strzeleckii,E_strzeleckii
293,Eucalyptus_nova_anglica_244,NA,NA
294,Eucalyptus_smithii_217,Eucalyptus_smithii,E_smithii
295,Eucalyptus_yarraensis_8005851,Eucalyptus_yarraensis,E_yarraensis
296,Eucalyptus_conspicua_113,Eucalyptus_conspicua,E_conspicua
297,Eucalyptus_ovata_var_ovata_ANBG_475702,Eucalyptus_ovata,E_ovata var ovata
298,Eucalyptus_aromaphloia_subsp_aromaphloia_CANB_564611,Eucalyptus_aromaphloia,E_aromaphloia
299,Eucalyptus_rubida_subsp_rubida_ANBG_732895,Eucalyptus_rubida,E_rubida
300,Eucalyptus_acaciiformis_214,Eucalyptus_acaciiformis,E_acaciiformis
301,Eucalyptus_cadens_285,Eucalyptus_cadens,E_cadens
302,Eucalyptus_nobilis_246,Eucalyptus_nobilis,E_nobilis
303,Eucalyptus_longifolia,Eucalyptus_longifolia,E_longifolia
304,Eucalyptus_elliptica_69616,Eucalyptus_elliptica,E_elliptica
305,Eucalyptus_scoparia_ANBG_501278,Eucalyptus_scoparia,E_scoparia
306,Eucalyptus_alaticaulis_371,Eucalyptus_alaticaulis,E_alaticaulis
307,Eucalyptus_cypellocarpa_665,Eucalyptus_cypellocarpa,E_cypellocarpa
308,Eucalyptus_sturgissiana_376,Eucalyptus_sturgissiana,E_sturgissiana
309,Eucalyptus_imlayensis_ANBG_782689,Eucalyptus_imlayensis,E_imlayensis
310,Eucalyptus_canobolensis_497,Eucalyptus_canobolensis,E_canobolensis
311,Eucalyptus_corticosa_ANBG_54339,Eucalyptus_corticosa,E_corticosa
312,Eucalyptus_baeuerlenii_7810671,Eucalyptus_baeuerlenii,E_baeuerlenii
313,Eucalyptus_microneura_8603418,Eucalyptus_microneura,E_microneura
314,Eucalyptus_kitsoniana_110,Eucalyptus_kitsoniana,E_kitsoniana
315,Eucalyptus_cordata_ANBG_8804430,Eucalyptus_cordata,E_cordata
316,Eucalyptus_barberi_600,Eucalyptus_barberi,E_barberi
317,Eucalyptus_globulus_subsp_globulus_ANBG_85001816,Eucalyptus_globulus,E_globulus
318,Eucalyptus_dunnii_691,Eucalyptus_dunnii,E_dunnii
319,Eucalyptus_retinens_259,Eucalyptus_retinens,E_retinens
320,Eucalyptus_malacoxylon_576,Eucalyptus_malacoxylon,E_malacoxylon
321,Eucalyptus_bridgesiana_257,Eucalyptus_bridgesiana,E_bridgesiana
322,Eucalyptus_angophoroides_158,Eucalyptus_angophoroides,E_angophoroides
323,Eucalyptus_camphora_subsp_camphora_621,Eucalyptus_camphora,E_camphora
324,Eucalyptus_crenulata_307,Eucalyptus_crenulata,E_crenulata
325,Eucalyptus_deanei_623,Eucalyptus_deanei,E_deanei
326,Eucalyptus_morrisbyi_618,Eucalyptus_morrisbyi,E_morrisbyi
327,Eucalyptus_quadrangulata_234,Eucalyptus_quadrangulata,E_quadrangulata
328,Eucalyptus_botryoides_304,Eucalyptus_botryoides,E_botryoides
329,Eucalyptus_neglecta_72027,Eucalyptus_neglecta,E_neglecta
330,Eucalyptus_propinqua_696,Eucalyptus_propinqua,E_propinqua
331,Eucalyptus_grandis,Eucalyptus_grandis,E_grandis
332,Eucalyptus_resinifera_subsp_resinifera_750,Eucalyptus_resinifera,E_resinifera
333,Eucalyptus_saligna_737,Eucalyptus_saligna,E_saligna
334,Eucalyptus_pellita_ANBG_8413520,Eucalyptus_pellita,E_pellita
335,Eucalyptus_gregoriensis_503,NA,NA
336,Eucalyptus_scias_subsp_scias_745,Eucalyptus_scias,E_scias
337,Eucalyptus_canaliculata_698,Eucalyptus_canaliculata,E_canaliculata
338,Eucalyptus_longirostrata_649,Eucalyptus_longirostrata,E_longirostrata
339,Eucalyptus_prava_220,Eucalyptus_prava,E_prava
340,Eucalyptus_seeana_630,Eucalyptus_seeana,E_seeana
341,Eucalyptus_hallii,Eucalyptus_hallii,E_hallii
342,Eucalyptus_disclusa_232,NA,NA
343,Eucalyptus_leucophloia_subsp_euroa_500,Eucalyptus_leucophloia,E_leucophloia
344,Eucalyptus_parramattensis_subsp_parramattensis_161,Eucalyptus_parramattensis,E_parramattensis
345,Eucalyptus_michaeliana_258,Eucalyptus_michaeliana,E_michaeliana
346,Eucalyptus_major_602,Eucalyptus_major,E_major
347,Eucalyptus_dealbata_212,Eucalyptus_dealbata,E_dealbata
