accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Eucalyptus leucoxylon subsp. megalocarpa ,Eucalyptus leucoxylon subsp. megalocarpa ,DN 4310,"Nelson, VIC",261,"12,13,14,15",2004,2011,2011,Batch 2 collected 10.11.15,0.476,1.23,2.93,2.6,20/11/2015,
Eucalyptus extensa,Eucalyptus extensa,DN 3467,"Marvel Loch, WA",224,"33,34,35,36",2001,2006,2013,Batch 1 collected 1.11.15,0.476,1.23,3.19,2.84,3/12/2015,
Eucalyptus latens,Eucalyptus latens ,DN 3742,"Ongerup, WA",231,"09,10,11,12",2001,2005,2007,Batch 1 collected 1.11.15,0.476,1.23,3.73,3.08,11/11/2015,
Eucalyptus captiosa ,Eucalyptus captiosa ,DN 203,"Needilup, WA",17,"24,25,26,27",1993,1997,1997,Batch 6 collected 10.1.16,0.475963827,1.23,2.89,2.78,21/01/2016,
Eucalyptus incrassata,Eucalyptus incrassata,DN 3706,"Hopetoun, WA",230,"05,6,7,8",2001,2004,2005,Batch 1 collected 1.11.15,0.476,1.23,4.21,3.47,11/11/2015,
Eucalyptus rupestris,Eucalyptus rupestris,DN 1920,"Mt Elizabeth Station, WA",84,"13,14,15",1998,,,Batch 3 collected 22.11.15,0.476,1.23,3.34,3.09,1/12/2015,
Eucalyptus subangusta subsp. virescens,Eucalyptus subangusta subsp. virescens,DN 3451,"Bruce Rock, WA",223,"25,26,27,28",2001,2006,2010,Batch 1 collected 1.11.15,0.476,1.23,3.08,2.7,10/11/2015,
Eucalyptus cordata subsp. cordata,Eucalyptus cordata subsp. cordata,DN 1985,"Kellevie, TAS",153,"09,10,11,12",1998,2005,2006,Batch 3 collected 22.11.15,0.476,1.23,4.16,3.11,30/11/2015,
Eucalyptus froggattii,Eucalyptus froggattii,DN 2583,"Mitre, VIC",188,"13,14,15,16",2000,2004,2005,Batch 2 collected 10.11.15,0.476,1.23,2.32,2.04,23/11/2015,
Eucalyptus rudderi,Eucalyptus rudderi,DN 2920,"Taree, NSW",196,"09,10,11,12",2000,2008,2008,Batch 2 collected 10.11.15,0.476,1.23,2.48,1.99,23/11/2015,
NA,Eucalyptus sp. Kitchener,DN 2790,"Zanthus, WA",185,"16,17,18,19",2000,2003,2006,Batch 2 collected 10.11.15,0.476,1.23,2.5,2.09,23/11/2015,
Eucalyptus absita,Eucalyptus absita,DN 1154,"Badgingarra, WA",68,"08,9,10,11",1995,2000,2000,Batch 5 collected 6.12.15,0.476,1.23,4.88,2.4,17/12/2015,
Eucalyptus brevipes,Eucalyptus brevipes,DN 299,"Leda Nature Reserve, WA",27,"15,16,17,18",1993,1997,1997,Batch 6 collected 10.1.16,0.476417342,1.23,5.03,2.91,18/01/2016,
Eucalyptus varia,Eucalyptus varia,DN 163,"Scaddan, WA",85,"21,22,23,24,25",1996,1998,1999,Batch 3 collected 22.11.15,0.476,1.23,3.21,2.85,30/11/2015,
Eucalyptus glaucina,Eucalyptus glaucina,DN 2085,"Paterson, NSW",156,"21,22,23,24",1998,2006,2006,Batch 3 collected 22.11.15,0.477,1.23,2.84,2.27,26/11/2015,
Eucalyptus ancophila,Eucalyptus ancophila,DN 646,"Eungai Creek, NSW",58,"12,13,14,15",1994,2002,2002,Batch 5 collected 6.12.15,0.477,1.24,4.59,2.85,14/12/2015,
Eucalyptus cylindriflora,Eucalyptus cylindriflora,DN 144,"Salmon Gums, WA",17,"09,10,11,12",1993,1998,2000,Batch 6 collected 10.1.16,0.476871722,1.24,4.59,3.07,18/01/2016,
Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,DN 2921,"Eungai, NSW",197,"05,6,7,8",2000,2008,2009,Batch 2 collected 10.11.15,0.477,1.24,2.98,2.43,23/11/2015,
Eucalyptus tereticornis,Eucalyptus tereticornis subsp. rotunda,DN 1272,"Mt Moffat, QLD",90,"09,10,11,12",1996,2003,2011,Batch 3 collected 22.11.15,0.477,1.24,3.6,2.58,27/11/2015,
Eucalyptus grandis,Eucalyptus grandis subsp. 'North Qld',DN 2524,Atherton Tableland QLD,165,"23,24,25,26",1999,2011,2011,Batch 4 collected 29.11.15,0.477,1.24,3.11,2.14,10/12/2015,
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,DN 139,"McPherson Rock, WA",17,"05,6,7,8",1993,1995,1997,Batch 6 collected 10.1.16,0.477326969,1.24,4.28,3.04,21/01/2016,
Eucalyptus melanophitra,Eucalyptus melanophitra,DN 211,"Pallinup River, WA",15,"05,6,7,8",1993,1996,1998,Batch 6 collected 10.1.16,0.477554919,1.24,3.63,2.83,21/01/2016,
Eucalyptus rosacea,Eucalyptus rosacea,DN 518,"Lake Minigwal, WA",82,"07,8,9,10",1998,1999,1999,Batch 3 collected 22.11.15,0.478,1.24,2.6,2.35,30/11/2015,
Eucalyptus petraea,Eucalyptus petraea,DN 3766,"Coorow, WA",229,"21,22,23,24",2001,2005,2006,Batch 1 collected 1.11.15,0.478,1.24,2.5,1.93,6/11/2015,
NA,Eucalyptus beyeri,DN 1761,"Bargo, NSW",143,"25,26,27,28",1997,2005,2005,Batch 4 collected 29.11.15,0.478,1.24,3.11,2.44,9/12/2015,
Eucalyptus kabiana,Eucalyptus kabiana,DN 720,"Mt Beerwah, QLD",50,"21,22,23,24",1994,1997,1997,Batch 5 collected 6.12.15,0.478,1.24,4.43,3.02,14/12/2015,
Eucalyptus banksii,Eucalyptus banksii,DN 653,"Armidale, NSW",50,"33,34,35,36",1994,2001,2008,Batch 5 collected 6.12.15,0.478,1.24,4.56,3.89,14/12/2015,
Eucalyptus incrassata,Eucalyptus incrassata (stubby-fruited form),DN 4571,"Boyatup Hill, WA",267,"05,6,7,8",2004,2008,2009,Batch 2 collected 10.11.15,0.478,1.24,2.97,2.31,20/11/2015,
Eucalyptus largeana,Eucalyptus largeana,DN 2086,"Craven, NSW",155,"09,10,11,12",1998,2006,2007,Batch 3 collected 22.11.15,0.478,1.24,2.76,2.6,27/11/2015,
Eucalyptus olivina,Eucalyptus olivina,DN 3670,"South Ironcap, WA",226,"21,22,23,24",2001,2005,2007,Batch 1 collected 1.11.15,0.478,1.24,3,2.23,9/11/2015,
Eucalyptus polyanthemos subsp. marginalis,Eucalyptus polyanthemos subsp. marginalis,DN 6106,"Torrington State Forest, VIC",272,"01,2,3,4",2013,,,Batch 2 collected 10.11.15,0.478,1.24,2.4,2.18,20/11/2015,
Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana,DN 576,"Mt Buffalo, VIC",145,"05,6,7,8",1997,2006,,Batch 4 collected 29.11.15,0.478,1.24,3.6,2.12,9/12/2015,
Eucalyptus incrassata,Eucalyptus incrassata (obconic-fruited form) ,DN 4796,"Pingrup, WA",210,"18,19,20,21",2006,2011,2013,Batch 2 collected 10.11.15,0.479,1.24,3.44,2.42,19/11/2015,
Eucalyptus punctata,Eucalyptus punctata,DN 612,"Tomerong, NSW",74,"01,2,3,4",1995,2000,2001,Batch 6 collected 10.1.16,0.478697942,1.24,2.68,1.97,21/01/2016,
Eucalyptus aspratilis,Eucalyptus aspratilis,DN 328,"Mt Day, WA",31,"05,6,7,8",1993,1997,1997,Batch 6 collected 10.1.16,0.478927203,1.24,4.38,3.31,18/01/2016,
Eucalyptus effusa subsp. effusa,Eucalyptus effusa subsp. effusa,DN 3631,"Spy Hill, WA",225,"21,22,23,24",2001,2004,2005,Batch 1 collected 1.11.15,0.479,1.24,2.88,2.42,10/11/2015,
Eucalyptus scyphocalyx,Eucalyptus scyphocalyx,DN 558,"Toolinna Cove, WA",41,"21,22,23,24",1994,1997,1998,Batch 5 collected 6.12.15,0.479,1.24,6.1,3.47,11/12/2015,
Eucalyptus obesa,Eucalyptus obesa,DN 3724,"Lake Grace, WA",231,"05,7,8",2001,2007,2009,Batch 1 collected 1.11.15,0.479,1.24,3.06,2.63,9/11/2015,
Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,DN 2911,"West Head, NSW",197,"13,14,15,16",2000,2007,2009,Batch 2 collected 10.11.15,0.479,1.24,2.13,1.8,23/11/2015,
NA,Eucalyptus sp. Fraser Range ,DN 3662,"Disappointment Rock, WA",221,"17,18,19,20",2001,2003,2005,Batch 1 collected 1.11.15,0.479,1.24,3.69,2.47,10/11/2015,
Eucalyptus baileyana,Eucalyptus baileyana,DN 665,"Fortis Creek, NSW",52,"21,22,23,24",1994,2006,,Batch 5 collected 6.12.15,0.479,1.24,4.79,2.93,20/12/2015,
Eucalyptus leptopoda subsp. elevata,Eucalyptus leptopoda subsp. elevata,DN 8,"Ilkurlka, WA",9,"01,2,3,4",1993,1995,1998,Batch 6 collected 10.1.16,0.479386385,1.24,4.14,3.24,20/01/2016,
Eucalyptus litoralis,Eucalyptus litoralis,DN 463,"Anglesea, VIC",35,"03,4,5,6",1993,2000,2002,Batch 6 collected 10.1.16,0.479386385,1.24,5.26,3.15,19/01/2016,
Eucalyptus praetermissa,Eucalyptus praetermissa,DN 213,"Beaufort Inlet, WA",30,"01,2,3,4",1993,1995,1997,Batch 6 collected 10.1.16,0.479386385,1.24,4.45,2.84,18/01/2016,
Eucalyptus cneorifolia,Eucalyptus cneorifolia,DN 75,"Wilson Hill, SA",44,"01,2,3,4",1994,1998,2001,Batch 5 collected 6.12.15,0.48,1.24,3.06,2.89,17/12/2015,
Eucalyptus minniritchi,Eucalyptus minniritchi,DN 1354,"Mt Hermannsburg, NT",132,"13,14,15,16",1997,2001,2001,Batch 3 collected 22.11.15,0.48,1.24,2.96,2.15,26/11/2015,
Eucalyptus pleurocarpa,Eucalyptus pleurocarpa,DN 154,"Grass Patch, WA",71,"12,13,14,15",1995,1999,2000,Batch 6 collected 10.1.16,0.479616307,1.24,6.37,3.63,20/01/2016,
Eucalyptus redunca,Eucalyptus redunca,DN 221,"Cape Melville, WA",172,"23,24,25",1999,2004,2005,Batch 4 collected 29.11.15,0.48,1.24,3.59,2.56,11/12/2015,
Eucalyptus synandra,Eucalyptus synandra,DN 297,"Jingymia, WA",19,"09,10,11,12",1993,1996,1997,Batch 6 collected 10.1.16,0.479616307,1.24,3.65,3.22,19/01/2016,
Eucalyptus beardiana,Eucalyptus beardiana,DN 2208,"Nerren Nerren, WA",186,"09,10",2000,2011,2013,Batch 1 collected 1.11.15,0.48,1.24,3.03,2.2,12/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata,DN 1108,"Bremer Range, WA",68,"12,13,14,15",1995,1999,2000,Batch 5 collected 6.12.15,0.48,1.24,3.81,2.59,17/12/2015,
Eucalyptus nortonii ,Eucalyptus nortonii ,DN 2951,"Mudgee, NSW",190,"01,2,3,4",2000,2009,2011,Batch 2 collected 10.11.15,0.48,1.24,2.06,1.74,20/11/2015,
Eucalyptus brassiana,Eucalyptus brassiana,DN 1316,"Battlecamp, QLD",95,"05,6",1996,1999,1999,Batch 3 collected 22.11.15,0.48,1.24,2.78,2.02,30/11/2015,
Eucalyptus exigua,Eucalyptus exigua,DN 3676,"Varley, WA",228,"17,18,19,20",2001,2005,2007,Batch 1 collected 1.11.15,0.48,1.24,3.36,2.55,9/11/2015,
Eucalyptus ophitica,Eucalyptus ophitica,DN 2099,"Baryulgil, NSW",151,"29,30,31,32",1998,2008,2014,Batch 3 collected 22.11.15,0.48,1.24,3.33,2.43,26/11/2015,
Eucalyptus uncinata,Eucalyptus uncinata subsp. 'Esperance Plains',DN 1089,"Pine Hill, WA",64,"20,21,22,23",1995,1999,2008,Batch 5 collected 6.12.15,0.48,1.24,3.85,2.77,20/12/2015,
NA,Eucalyptus bicostata ,DN 3212,"Mt Bryan, SA",235,"17,18,19,20",2001,2013,,Batch 7 collected 30.1.16,0.480538203,1.24,4.01,2.91,9/02/2016,
Eucalyptus diptera,Eucalyptus diptera,DN 146,"Salmon Gums, WA",85,"29,30,31,32",1996,1999,2002,Batch 3 collected 22.11.15,0.481,1.24,3.04,2.57,27/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata ,DN 4550,"Fraser Range south, WA",266,"13,14,15",2004,2008,2011,Batch 2 collected 10.11.15,0.481,1.24,2.45,1.86,20/11/2015,
Eucalyptus vegrandis subsp. vegrandis,Eucalyptus vegrandis subsp. vegrandis,DN 3563,"Ongerup, WA",236,"25,26,27,28",2001,2007,2008,Batch 1 collected 1.11.15,0.481,1.24,3.77,2.07,9/11/2015,
Eucalyptus calycogona subsp. spaffordii,Eucalyptus calycogona subsp. spaffordii,DN 949,"Yeelanna, SA",63,"37,38,39,40",1995,1998,1998,Batch 5 collected 6.12.15,0.481,1.25,4.15,3.24,14/12/2015,
Eucalyptus canaliculata,Eucalyptus canaliculata,DN 1232,"Dewiltt, NSW",95,"32,33,34,35",1996,2008,2008,Batch 3 collected 22.11.15,0.481,1.25,2.96,2.12,30/11/2015,
Eucalyptus laevis,Eucalyptus laevis,DN 5966,"Eyre Bird Observatory, WA",276,"09,10,11,12",2013,,,Batch 2 collected 10.11.15,0.481,1.25,2.24,2.18,18/11/2015,
Eucalyptus scopulorum,Eucalyptus scopulorum,DN 2927,"Peregrine Point, NSW",191,"29,30,31,32",2000,2008,2008,Batch 2 collected 10.11.15,0.481,1.25,2.59,1.98,19/11/2015,
Eucalyptus scyphocalyx,Eucalyptus scyphocalyx,DN 558,"Toolinna Cove, WA",41,"21,22,23,24",1994,1997,1998,Batch 5 collected 6.12.15,0.481,1.25,4.23,3.35,14/12/2015,
Eucalyptus calycogona subsp. trachybasis,Eucalyptus calycogona subsp. trachybasis,DN 732,"Lameroo, SA",47,"01,2,3,4",1994,1998,1998,Batch 5 collected 6.12.15,0.481,1.25,3.91,2.74,14/12/2015,
Eucalyptus decipiens,Eucalyptus decipiens,DN 1153,"Bold Park, WA",73,"09,10,11,12",1995,1999,2000,Batch 6 collected 10.1.16,0.481000481,1.25,4.72,3.18,20/01/2016,
NA,Eucalyptus insulana,DN 1309,"Walkamin, QLD",94,"18,19,20,21",1996,1999,1999,Batch 3 collected 22.11.15,0.481,1.25,3.31,2.38,30/11/2015,
Eucalyptus kabiana,Eucalyptus kabiana,DN 720,"Mt Beerwah, QLD",50,"21,22,23,24",1994,1997,1997,Batch 5 collected 6.12.15,0.481,1.25,3.42,2.63,17/12/2015,
Eucalyptus stoatei,Eucalyptus stoatei,DN 181,"Jerdacuttup, WA",41,"32,33,34,35",1994,1996,1998,Batch 5 collected 6.12.15,0.481,1.25,4.12,2.9,14/12/2015,
Eucalyptus stricklandii,Eucalyptus stricklandii,DN 3646,"Norseman, WA",222,"29,30,31,32",2001,2004,2006,Batch 1 collected 1.11.15,0.481,1.25,2.65,2.29,10/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata,DN 930,"Lochiel, SA",67,"38,39,40,41",1995,1998,1998,Batch 6 collected 10.1.16,0.481231954,1.25,5.65,2.46,20/01/2016,
Eucalyptus litorea,Eucalyptus litorea,DN 1094,"Israelite Bay, WA",65,"05,6,7,8",1995,1998,2000,Batch 5 collected 6.12.15,0.481,1.25,3.82,3.04,14/12/2015,
NA,Eucalyptus sp. Esperance,DN 3604,"Mt Ney, WA",226,"09,10,11,12",2001,2004,2006,Batch 1 collected 1.11.15,0.481,1.25,3.18,2.83,11/11/2015,
Eucalyptus notabilis,Eucalyptus notabilis,DN 630,"Faulconbridge, NSW",53,"13,14,15,16",1994,1998,2001,Batch 5 collected 6.12.15,0.481,1.25,3.24,2.26,20/12/2015,
Eucalyptus scopulorum,Eucalyptus scopulorum,DN 2927,"Peregrine Point, NSW",191,"29,30,31,32",2000,2008,2008,Batch 2 collected 10.11.15,0.481,1.25,3.04,2.33,20/11/2015,
Eucalyptus virens,Eucalyptus virens,DN 2116,"Mt Moffat, QLD",150,"09,10,11,12",1998,2006,2007,Batch 3 collected 22.11.15,0.481,1.25,2.51,2.25,30/11/2015,
Eucalyptus macrocarpa subsp. macrocarpa,Eucalyptus macrocarpa subsp. macrocarpa,DN 261,"Warradarge, WA",170,"32,33",1999,2007,2008,Batch 4 collected 29.11.15,0.482,1.25,3.55,2.93,9/12/2015,
Eucalyptus ovularis,Eucalyptus ovularis,DN 1107,"Red Lake, WA",68,"24,25,26,27",1995,1999,2002,Batch 5 collected 6.12.15,0.482,1.25,3.38,2.8,20/12/2015,
Eucalyptus incrassata,Eucalyptus incrassata,DN 1129,"Twertup, WA",70,"21,22,23,24",1995,2000,2002,Batch 5 collected 6.12.15,0.482,1.25,3.84,2.93,16/12/2015,
Eucalyptus incrassata ,Eucalyptus incrassata ,DN 4602,"Sandy Hook Island, WA",266,"01,2,3",2004,2011,2013,Batch 2 collected 10.11.15,0.482,1.25,2.38,2.3,18/11/2015,
Eucalyptus livida,Eucalyptus livida,DN 318,"North Ironcap, WA",12,"25,26,27,28",1993,1997,1999,Batch 6 collected 10.1.16,0.482160077,1.25,3.55,2.86,18/01/2016,
Eucalyptus nobilis,Eucalyptus nobilis,DN 753,"Liverpool Range, NSW",169,"16,17,18,19",1999,2008,2011,Batch 4 collected 29.11.15,0.482,1.25,2.83,2.24,10/12/2015,
Eucalyptus tereticornis subsp. mediana,Eucalyptus tereticornis subsp. mediana,DN 1736,"Metung, Vic",144,"28,29,30,31",1997,2004,2008,Batch 4 collected 29.11.15,0.482,1.25,3.54,2.76,16/12/2015,
Eucalyptus baudiniana,Eucalyptus baudiniana,DN 5577,"Eurardy, WA",317,"17,18,19,20",2011,,,Batch 6 collected 10.1.16,0.482392668,1.25,3.52,2.83,20/01/2016,
Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,DN 746,"Bylong, NSW",48,"17,18,19,20",1994,2000,2001,Batch 5 collected 6.12.15,0.483,1.25,3.15,2.6,17/12/2015,
Eucalyptus incrassata,Eucalyptus incrassata,DN 6005,"Israelite Bay, WA",278,"09,10,11,12",2013,,,Batch 2 collected 10.11.15,0.483,1.25,2.41,2.19,18/11/2015,
Eucalyptus kabiana,Eucalyptus kabiana,DN 720,"Mt Beerwah, QLD",50,"21,22,23,24",1994,1997,1997,Batch 5 collected 6.12.15,0.483,1.25,3.49,2.92,16/12/2015,
NA,Eucalyptus sp. Fraser Range ,DN 4539,"Newman Rock, WA",269,"01,2,3,4",2004,2013,,Batch 2 collected 10.11.15,0.483,1.25,2.98,2.34,20/11/2015,
Eucalyptus yilgarnensis,Eucalyptus yilgarnensis,DN 1566,"Pigeon Rock, WA",88,"20,21,22,23",1996,1998,1999,Batch 3 collected 22.11.15,0.483,1.25,3.45,2.56,27/11/2015,
Eucalyptus accedens,Eucalyptus accedens,DN 1164,"Mount Adams, WA",66,"01,2,3,4",1995,1999,2002,Batch 5 collected 6.12.15,0.483,1.25,4.22,2.75,20/12/2015,
Eucalyptus oldfieldii,Eucalyptus oldfieldii subsp. paupera ,DN 4289,"Carnarvon Range, WA",200,"05,6,7,8",2002,2011,2011,Batch 2 collected 10.11.15,0.483,1.25,3.1,2.23,19/11/2015,
Eucalyptus rummeryi,Eucalyptus rummeryi,DN 1245,"Mallanganee, NSW",194,"13,14",2000,2011,2013,Batch 2 collected 10.11.15,0.483,1.25,2.5,2.14,23/11/2015,
NA,Eucalyptus fergusonii subsp. Fergusonii,DN 2918,"Karuah, NSW",196,"01,2,3,4",2000,2008,2009,Batch 2 collected 10.11.15,0.483,1.25,2.39,1.84,19/11/2015,
Eucalyptus koolpinensis,Eucalyptus koolpinensis,DN 2486,"Kakadu Nat. Park, NT",167,"28,29,30",1999,,,Batch 4 collected 29.11.15,0.483,1.25,4.26,3.7,11/12/2015,
Eucalyptus tardecidens,Eucalyptus tardecidens,DN 2521,"Maitland Downs, QLD",165,"08,9,10,11",1999,2011,2013,Batch 4 collected 29.11.15,0.483,1.25,3.76,2.73,9/12/2015,
Eucalyptus normantonensis,Eucalyptus normantonensis,DN 1202,"Pollock Hills, WA",65,"01,2,3,4",1995,1997,1997,Batch 5 collected 6.12.15,0.484,1.25,3.28,2.9,14/12/2015,
Eucalyptus subangusta subsp. pusilla,Eucalyptus subangusta subsp. pusilla,DN 3497,"Kalannie, WA",232,"29,30,31,32",2001,2008,2013,Batch 1 collected 1.11.15,0.484,1.25,2.64,2.29,11/11/2015,
Eucalyptus carnei,Eucalyptus carnei,DN 4302,"Wiluna, WA",201,"28,29,30,31",2002,2008,2011,Batch 2 collected 10.11.15,0.484,1.25,3.07,2.95,19/11/2015,
Eucalyptus articulata,Eucalyptus articulata,DN 520,"Mulga Rock, WA",40,"16,17,18,19",1994,1997,1997,Batch 5 collected 6.12.15,0.484,1.25,3.57,2.87,17/12/2015,
Eucalyptus gongylocarpa,Eucalyptus gongylocarpa,DN 4303,"Wiluna, WA",200,"29,30,31,32",2002,2011,2013,Batch 2 collected 10.11.15,0.484,1.25,3.05,1.99,20/11/2015,
Eucalyptus histophylla,Eucalyptus histophylla,DN 3661,"Disappointment Rock, WA",221,"25,26,27,28",2001,2004,2007,Batch 1 collected 1.11.15,0.484,1.25,3.26,2.16,10/11/2015,
Eucalyptus latens,Eucalyptus latens ,DN 3722,"Lake Grace, WA",231,"25,26,27,28",2001,2005,2007,Batch 1 collected 1.11.15,0.484,1.25,3.36,2.71,9/11/2015,
Eucalyptus orthostemon,Eucalyptus orthostemon,DN 3691,"Calingiri, WA",232,"01,2,3,4",2001,2008,2011,Batch 1 collected 1.11.15,0.484,1.25,5.35,3.04,10/11/2015,
NA,Eucalyptus sp. Sullivan Soak,DN 5503,"Lake Magenta, WA",315,"01,2,3,4",2011,2014,,Batch 4 collected 29.11.15,0.484,1.25,2.83,2.39,11/12/2015,
Eucalyptus ewartiana,Eucalyptus ewartiana,DN 2721,"Mt Dennis, WA",184,"33,34,35,36",2000,2002,2009,Batch 2 collected 10.11.15,0.484,1.25,3.77,2.16,18/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata (smooth fruit form),DN 3731,"Harrismith, WA",230,"29,30,31,32",2001,2004,2006,Batch 1 collected 1.11.15,0.484,1.25,3.79,2.97,10/11/2015,
Eucalyptus melanophloia subsp. melanophloia,Eucalyptus melanophloia subsp. melanophloia,DN 690,"Wandoan, QLD",49,17,1994,1999,1999,Batch 5 collected 6.12.15,0.484,1.25,3.46,3.11,14/12/2015,
Eucalyptus cullenii,Eucalyptus cullenii,DN 1322,"Lakeland, QLD",94,"25,26,27,28",1996,2001,2001,Batch 3 collected 22.11.15,0.485,1.26,2.6,2.54,27/11/2015,
Eucalyptus petiolaris,Eucalyptus petiolaris,DN 945,"Koppio Hills, SA",74,"28,29,30,31",1995,1998,19981,Batch 6 collected 10.1.16,0.484730974,1.26,2.73,2.27,20/01/2016,
Eucalyptus delicata,Eucalyptus delicata,DN 149,"Lort River, WA",19,"29,30,31",1993,1997,2000,Batch 6 collected 10.1.16,0.484966052,1.26,4.25,2.97,21/01/2016,
Eucalyptus halophila,Eucalyptus halophila,DN 155,"Scaddan, WA",12,"33,34,35,36",1993,1995,1996,Batch 6 collected 10.1.16,0.484966052,1.26,4.13,2.76,21/01/2016,
Eucalyptus leucophylla,Eucalyptus leucophylla,DN 4181,"Dajarra, QLD",203,"21,22,23,24",2002,,,Batch 2 collected 10.11.15,0.485,1.26,2.35,2.36,18/11/2015,
NA,Eucalyptus sp. South Newdegate Lakes,DN 6021,"Lake Magenta, WA",280,"09,10,11,12",2013,,,Batch 7 collected 30.1.16,0.484966052,1.26,3.4,2.54,9/02/2016,
Eucalyptus thamnoides,Eucalyptus thamnoides,DN 3454,"Quairading, WA",234,"05,6,7,8",2001,2006,2007,Batch 1 collected 1.11.15,0.485,1.26,516,2.13,9/11/2015,
Eucalyptus adesmophloia,Eucalyptus adesmophloia,DN 216,"Beaufort Inlet, WA",21,"05,6,7",1993,1997,1997,Batch 6 collected 10.1.16,0.485201359,1.26,3.14,2.25,21/01/2016,
Eucalyptus albopurpurea,Eucalyptus albopurpurea,DN 3180,"Sleaford, SA",220,"13,14,15,16",2001,2004,2005,Batch 1 collected 1.11.15,0.485,1.26,2.95,2.45,10/11/2015,
Eucalyptus latens,Eucalyptus latens,DN 3436,"Pingaring, WA",227,"25,26,27,28",2001,2005,2007,Batch 1 collected 1.11.15,0.485,1.26,3.79,3.18,9/11/2015,
NA,"Eucalyptus rigens",DN 3595,"Mt Ney, WA",232,"25,26,27,28",2001,2005,2006,Batch 1 collected 1.11.15,0.485,1.26,2.94,2.64,11/11/2015,
Eucalyptus taurina,Eucalyptus taurina,DN 2106,"Helidon Hills, QLD",151,"17,18,19,20",1998,,,Batch 3 collected 22.11.15,0.485,1.26,4.63,1.94,26/11/2015,
Eucalyptus bosistoana,Eucalyptus bosistoana,DN 2902,"Nerrigundah, NSW",192,"05,6,7,8",2000,2008,2009,Batch 2 collected 10.11.15,0.485,1.26,3.27,2.96,23/11/2015,
Eucalyptus diminuta,Eucalyptus diminuta,DN 3544,Mindaloo Beacon,235,"09,10,11,12",2001,2005,2006,Batch 1 collected 1.11.15,0.485,1.26,2.86,1.99,11/11/2015,
Eucalyptus pruiniramis,Eucalyptus pruiniramis,DN 284,"Watheroo, WA",20,"01,2",1993,1997,1999,Batch 7 collected 30.1.16,0.485436893,1.26,3.68,2.82,8/02/2016,
Eucalyptus angulosa ,Eucalyptus angulosa ,DN 3746,"Bremer Bay, WA",220,"29,30,31,32",2001,2003,2004,Batch 1 collected 1.11.15,0.486,1.26,2.61,2.29,10/11/2015,
NA,Eucalyptus aridomontana ,DN 5778,"Mt Sheila, WA",316,"25,26,27,28",2011,,,Batch 6 collected 10.1.16,0.485908649,1.26,4.51,2.66,20/01/2016,
Eucalyptus conica,Eucalyptus conica,DN 747,"Bylong, NSW",47,"05,6,8",1994,2001,2001,Batch 5 collected 6.12.15,0.486,1.26,3.97,3.51,20/12/2015,
Eucalyptus leptocalyx subsp. petilipes,Eucalyptus leptocalyx subsp. petilipes,DN 3616,"Mt Buraminya, WA",225,"13,14,15,16",2001,2005,2006,Batch 1 collected 1.11.15,0.486,1.26,2.99,2.22,10/11/2015,
Eucalyptus robusta,Eucalyptus robusta,DN 6205,"Wooli, NSW",242,"17,18,19,20",2013,,,Batch 6 collected 10.1.16,0.485908649,1.26,4.27,3.19,21/01/2016,
Eucalyptus calycogona subsp. Miraculum,Eucalyptus calycogona subsp. Miraculum,DN 4794,"Marvel Loch, WA",211,"13,14,15,16",2006,2011,2011,Batch 2 collected 10.11.15,0.486,1.26,2.6,2.16,18/11/2015,
Eucalyptus gracilis,Eucalyptus gracilis,DN 3645,"Norseman, WA",222,"17,18,19,20",2001,2006,2006,Batch 1 collected 1.11.15,0.486,1.26,2.65,2.74,10/11/2015,
Eucalyptus persistens,Eucalyptus persistens,DN 1291,"White Mountains, QLD",91,"01,2,3,4",1996,2000,2000,Batch 3 collected 22.11.15,0.486,1.26,4.02,2.63,27/11/2015,
Eucalyptus staigeriana,Eucalyptus staigeriana,DN 2520,"Maitland Downs, QLD",165,"31,32,33,34",1999,2013,2013,Batch 4 collected 29.11.15,0.486,1.26,3.53,2.27,8/12/2015,
Eucalyptus distans,Eucalyptus distans,DN 2500,"Croydon, QLD",169,"04,5,6,7",1999,2007,2008,Batch 7 collected 30.1.16,0.486618005,1.26,3.49,2.69,8/02/2016,
NA,Eucalyptus maidenii,DN 1764,"Araluen, NSW",144,"01,2,3,4",1997,2007,2011,Batch 4 collected 29.11.15,0.487,1.26,3.24,2.41,9/12/2015,
Eucalyptus micranthera,Eucalyptus micranthera,DN 1090,"Mt Ragged, WA",64,"13,14,15",1995,1998,1998,Batch 5 collected 6.12.15,0.487,1.26,3.56,3.59,20/12/2015,
