accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
NA,Corymbia capricornia,DN 1907,"King Leopold Ranges, WA",potted,,,,,Batch 7 collected 30.1.16,0.345423143,0.89,3.43,2.54,8/02/2016,
Corymbia ligans,Corymbia ligans subsp. ligans,DN 2527,"Greenvale, QLD",168,"05,6",1999,,,Batch 7 collected 30.1.16,0.345423143,0.89,3.9,2.82,5/02/2016,
Corymbia cliftoniana,Corymbia cliftoniana,DN 5851,"Bungle Bungles, WA",316,"01,2,3,4",2011,,,Batch 7 collected 30.1.16,0.345781466,0.9,3.4,2.5,8/02/2016,
Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,DN 1336,"Lake Woods, NT",potted,,,,,Batch 7 collected 30.1.16,0.345901072,0.9,3.71,2.44,8/02/2016,
Corymbia maculata,Corymbia maculata,DN 1752,"Narooma, NSW",140,"05,6,7,8",1997,2000,2002,Batch 3 collected 22.11.15,0.346,0.9,3.19,2.36,26/11/2015,
Corymbia leichhardtii,Corymbia leichhardii,DN 1277,"Springsure, QLD",89,"01,2,3,4",1996,2002,2006,Batch 3 collected 22.11.15,0.346,0.9,3.53,2.77,27/11/2015,
Corymbia cadophora subsp. polychroma,Corymbia cadophora subsp. polychroma,DN 5858,"Ragged Range, WA",potted,,,,,Batch 7 collected 30.1.16,0.346500347,0.9,3.27,2.28,8/02/2016,
Corymbia leptoloma,Corymbia leptoloma,DN 1302,"Paluma, QLD",95,"07,8,9,10",1996,2001,2002,Batch 3 collected 22.11.15,0.347,0.9,3.04,2.1,30/11/2015,
Corymbia bloxsomei,Corymbia bloxsomei,DN 687,"Barakula forest, QLD",55,"28,29,30,31",1994,2004,2005,Batch 5 collected 6.12.15,0.347,0.9,4.92,3.16,17/12/2015,
Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,DN 2443,"Lake Woods, NT",potted,,,,,Batch 7 collected 30.1.16,0.347463516,0.9,3.66,2.16,8/02/2016,
Corymbia aureola,Corymbia aureola,DN 2542,"Cherwell Range, QLD",168,"11,12,13",1999,2005,2007,Batch 4 collected 29.11.15,0.348,0.9,3.41,2.42,10/12/2015,
Corymbia umbonata,Corymbia umbonata,DN 2488,"Katherine, NT",306,"25,26,27,28",2010,,,Batch 7 collected 30.1.16,0.347947112,0.9,3.99,2.73,5/02/2016,
Corymbia henryi,Corymbia henryi,DN 2092,"Coast Range, NSW",159,"01,2,3,4",1998,2002,2004,Batch 3 collected 22.11.15,0.348,0.9,3.89,3.25,1/12/2015,
Corymbia lenziana,Corymbia lenziana,DN 5733,"Kennedy Range, WA",319,9,2011,,,Batch 6 collected 10.1.16,0.348432056,0.9,5.58,2.78,20/01/2016,
Corymbia watsoniana subsp. capillata,Corymbia watsoniana subsp. capillata,DN 2547,"Expedition Range, QLD",168,"01,2,3,4",1999,,,Batch 4 collected 29.11.15,0.349,0.9,3.34,2.39,8/12/2015,
Corymbia watsoniana subsp. watsoniana,Corymbia watsoniana subsp. watsoniana,DN 688,"Barakula forest, QLD",55,"24,25,26,27",1994,2008,2011,Batch 5 collected 6.12.15,0.349,0.9,3.67,2.52,17/12/2015,
Corymbia xanthope,Corymbia xanthope,DN 2543,"Marlborough, QLD",167,"05,6,7",1999,,,Batch 4 collected 29.11.15,0.349,0.9,5.15,2.64,11/12/2015,
NA,Corymbia catenaria,DN 700,"Springsure, QLD",56,"19,20,21",1994,2000,2001,Batch 5 collected 6.12.15,0.349,0.9,3.61,2.84,16/12/2015,
Corymbia peltata,Corymbia peltata,DN 2505,"Newcastle Range, QLD",168,"27,28,29,30",1999,2013,,Batch 4 collected 29.11.15,0.349,0.9,4.31,3.72,11/12/2015,
Corymbia hendersonii,Corymbia hendersonii,DN 701,"Springsure, QLD",302,"09,10",2010,,,Batch 4 collected 29.11.15,0.35,0.91,5.43,2.82,11/12/2015,
Corymbia brachycarpa,Corymbia brachycarpa,DN 5141,"Torrens Creek, QLD",303,"20,21,22,23",2010,,,Batch 4 collected 29.11.15,0.35,0.91,4,3.59,11/12/2015,
Corymbia hamersleyana,Corymbia hamersleyana,DN 1190,"Mt Nameless, WA",64,"01,2,3,4",1995,2013,2013,Batch 5 collected 6.12.15,0.35,0.91,3.9,2.61,20/12/2015,
Corymbia intermedia,Corymbia intermedia,DN 708,"Blackdown Tableland, QLD",54,"09,10,11",1994,,,Batch 5 collected 6.12.15,0.351,0.91,3.49,2.55,20/12/2015,
Corymbia plena,Corymbia plena,DN 2535,"Torrens Creek, QLD",171,"23,24,25,26",1999,,,Batch 4 collected 29.11.15,0.351,0.91,3.29,2.52,10/12/2015,
Corymbia clarksoniana,Corymbia clarksoniana,DN 2511,"Musgrave, QLD",potted,,,,,Batch 7 collected 30.1.16,0.35161744,0.91,4.55,2.88,8/02/2016,
Corymbia rhodops,Corymbia rhodops,DN 1306,"Herberton, QLD",94,"22,23",1996,,,Batch 3 collected 22.11.15,0.352,0.91,2.8,2.38,26/11/2015,
Corymbia opaca,Corymbia opaca,DN 2434,"Alice Springs, NT",179,"13,14,15,16",1999,,,Batch 7 collected 30.1.16,0.352236703,0.91,3.15,2.11,5/02/2016,
NA,Corymbia variegata,DN 1246,"Drake, NSW",91,"12,13,14",1996,2001,2002,Batch 3 collected 22.11.15,0.353,0.91,3.26,2.77,1/12/2015,
Corymbia abergiana,Corymbia abergiana,DN 1303,"Paluma, QLD",159,"13,14,15,16",1998,2006,2011,Batch 3 collected 22.11.15,0.353,0.91,3.56,2.5,26/11/2015,
Corymbia citriodora ,Corymbia citriodora ,DN 702,"Springsure, QLD",54,"24,25,26",1994,2004,2004,Batch 5 collected 6.12.15,0.353,0.91,3.83,2.69,16/12/2015,
Corymbia bella,Corymbia bella,DN 4204,"Bulman, NT",307,"03,4,5,6",2010,,,Batch 4 collected 29.11.15,0.354,0.92,3.34,2.58,10/12/2015,
Eucalyptus curtisii,Eucalyptus curtisii,DN 2108,"Beerwah, QLD",159,"09,10,11,12",1998,2002,2002,Batch 3 collected 22.11.15,0.354,0.92,3.07,2.47,26/11/2015,
Corymbia erythrophloia,Corymbia erythrophloia,DN 2530,"Basalt, QLD",170,"24,25,26,27",1999,,,Batch 7 collected 30.1.16,0.355113636,0.92,3.26,2.72,8/02/2016,
Eucalyptus exilis,Eucalyptus exilis,DN 5541,"Boyagin Rock, WA",312,"05,6,7,8",2011,,,Batch 7 collected 30.1.16,0.357909807,0.93,4.4,2.4,9/02/2016,
Corymbia bunites,Corymbia bunites,DN 711,"Blackdown Tableland, QLD",54,"01,2,3,4",1994,2006,2007,Batch 5 collected 6.12.15,0.358,0.93,2.9,2.68,16/12/2015,
