accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Eucalyptus_cephalocarpa,E_cephalocarpa,NA,20,46.17,2.329,Eucalyptus
Eucalyptus_ceracea,E_ceracea,NA,6,NA,NA,Eucalyptus
Eucalyptus_cerasiformis,E_cerasiformis,1.2,3,NA,0.288,Eucalyptus
Eucalyptus_ceratocorys,E_ceratocorys,1.18,10,17.085,NA,Eucalyptus
Eucalyptus_cernua,E_cernua,1.35,5,26.71,0.392,Eucalyptus
Eucalyptus_chapmaniana,E_chapmaniana,NA,35,NA,2.62,Eucalyptus
Eucalyptus_chartaboma,E_chartaboma,1.55,18,NA,17.7844,Eucalyptus
Eucalyptus_chloroclada,E_chloroclada,1.18,20,46.39,0.21,Eucalyptus
Eucalyptus_chlorophylla,E_chlorophylla,1.3,18,36.19,0.7136,Eucalyptus
Eucalyptus_cinerea,E_cinerea,1.195,15,34.21428571,2.01,Eucalyptus
Eucalyptus_cladocalyx,E_cladocalyx,1.183333333,35,35.25,4.78,Eucalyptus
Eucalyptus_clivicola,E_clivicola,1.28,12,25.87,0.5998,Eucalyptus
Eucalyptus_cloeziana,E_cloeziana,1.04,55,69.62,1.53,Eucalyptus
Eucalyptus_cneorifolia,E_cneorifolia,1.24,10,27.64,2.12,Eucalyptus
Eucalyptus_coccifera,E_coccifera,NA,15,NA,4.1,Eucalyptus
Eucalyptus_codonocarpa,E_codonocarpa,NA,NA,NA,1.1284,Eucalyptus
Eucalyptus_comitae-vallis,E_comitae-vallis,1.31,NA,36.68,NA,Eucalyptus
Eucalyptus_communalis,E_communalis,NA,4,33.2,1.3608,Eucalyptus
Eucalyptus_concinna,E_concinna,1.32,8,26.22,3,Eucalyptus
Eucalyptus_conferruminata,E_conferruminata,1.15,8,36.2,4.1,Eucalyptus
Eucalyptus_conferta,E_conferta,1.18,NA,NA,NA,Eucalyptus
Eucalyptus_confluens,E_confluens,NA,8,NA,2.17,Eucalyptus
Eucalyptus_conglobata,E_conglobata,1.28,12.5,32.35,4.028,Eucalyptus
Eucalyptus_conglomerata,E_conglomerata,NA,8,NA,0.44,Eucalyptus
Eucalyptus_conica,E_conica,1.26,20,NA,1.42,Eucalyptus
Eucalyptus_consideniana,E_consideniana,1.14,30,45.57,7.1,Eucalyptus
Eucalyptus_conspicua,E_conspicua,1.17,10,60.12,0.4044,Eucalyptus
Eucalyptus_conveniens,E_conveniens,1.17,2.5,28.06,3.272,Eucalyptus
Eucalyptus_coolabah,E_coolabah,1.32,10,34.96,0.5004,Eucalyptus
Eucalyptus_cooperiana,E_cooperiana,1.3,4,29.13,1.62,Eucalyptus
Eucalyptus_copulans,E_copulans,NA,NA,NA,0.1728,Eucalyptus
Eucalyptus_cordata,E_cordata,1.23,20,49.46,7.9,Eucalyptus
Eucalyptus_cornuta,E_cornuta,1.18,20,41.07,6.26,Eucalyptus
Eucalyptus_coronata,E_coronata,1,3,NA,20.4,Eucalyptus
Eucalyptus_corrugata,E_corrugata,1.33,15,22.42,3.74,Eucalyptus
Eucalyptus_corticosa,E_corticosa,1.22,8,NA,0.5908,Eucalyptus
Eucalyptus_corynodes,E_corynodes,1.32,20,38.61,NA,Eucalyptus
Eucalyptus_cosmophylla,E_cosmophylla,NA,10,NA,6.08,Eucalyptus
Eucalyptus_crebra,E_crebra,1.28,35,NA,0.95,Eucalyptus
Eucalyptus_crenulata,E_crenulata,NA,12,75.26,0.58,Eucalyptus
Eucalyptus_creta,E_creta,1.28,10,23.63,0.9314,Eucalyptus
Eucalyptus_cretata,E_cretata,1.28,4,23.63,0.796,Eucalyptus
Eucalyptus_crispata,E_crispata,NA,8,NA,0.488,Eucalyptus
Eucalyptus_croajingolensis,E_croajingolensis,1.11,30,58.35,0.3688,Eucalyptus
Eucalyptus_crucis,E_crucis,1.176666667,15,43.58,7.173333333,Eucalyptus
Eucalyptus_cullenii,E_cullenii,1.26,25,64.79,3.5,Eucalyptus
Eucalyptus_cunninghamii,E_cunninghamii,1.13,2,NA,1.1316,Eucalyptus
Eucalyptus_cuprea,E_cuprea,1.2,6,40.63,0.2903226,Eucalyptus
Eucalyptus_cupularis,E_cupularis,1.17,8,NA,20.4,Eucalyptus
