species_height,accepted_name,max_height,unit,mallee,coevol
Eucalyptus dumosa,Eucalyptus_dumosa,10,m,Y,E_dumosa
Eucalyptus dundasii,Eucalyptus_dundasii,15,m,N,E_dundasii
Eucalyptus dunnii,Eucalyptus_dunnii,50,m,N,E_dunnii
Eucalyptus dura,Eucalyptus_dura,25,m,N,E_dura
Eucalyptus dwyeri,Eucalyptus_dwyeri,10,m,S,E_dwyeri
Eucalyptus ebbanoensis subsp. ebbanoensis,Eucalyptus_ebbanoensis,6,m,Y,E_ebbanoensis
Eucalyptus educta,Eucalyptus_educta,4,m,Y,E_educta
Eucalyptus effusa,Eucalyptus_effusa,4,m,S,E_effusa
Eucalyptus elaeophloia,Eucalyptus_elaeophloia,10,m,S,E_elaeophloia
Eucalyptus elata,Eucalyptus_elata,40,m,S,E_elata
Eucalyptus elliptica,Eucalyptus_elliptica,20,m,N,E_elliptica
Eucalyptus erectifolia,Eucalyptus_erectifolia,2.5,m,Y,E_erectifolia
Eucalyptus eremicola subsp. eremicola,Eucalyptus_eremicola,5,m,Y,E_eremicola
Eucalyptus eremophila,Eucalyptus_eremophila,5,m,N,E_eremophila
Eucalyptus erythrandra,NA,5,m,S,NA
Eucalyptus erythrocorys,Eucalyptus_erythrocorys,8,m,S,E_erythrocorys
Eucalyptus erythronema var. erythronema,Eucalyptus_erythronema,6,m,S,E_erythronema
Eucalyptus eudesmioides subsp. eudesmioides,Eucalyptus_eudesmioides,7,m,Y,E_eudesmioides
Eucalyptus eugenioides,Eucalyptus_eugenioides,25,m,N,E_eugenioides
Eucalyptus ewartiana,Eucalyptus_ewartiana,7,m,Y,E_ewartiana
Eucalyptus exigua,Eucalyptus_exigua,3,m,Y,E_exigua
Eucalyptus exilipes,Eucalyptus_exilipes,35,m,N,E_exilipes
Eucalyptus exilis,Eucalyptus_exilis,4,m,Y,E_exilis
Eucalyptus exserta,Eucalyptus_exserta,20,m,S,E_exserta
Eucalyptus extensa,Eucalyptus_extensa,12,m,N,E_extensa
Eucalyptus extrica,Eucalyptus_extrica,4,m,Y,E_extrica
Eucalyptus falcata,Eucalyptus_falcata,5,m,Y,E_falcata
Eucalyptus famelica,Eucalyptus_famelica,4,m,Y,E_famelica
Eucalyptus farinosa,Eucalyptus_farinosa,9,m,N,E_farinosa
Eucalyptus fasciculosa,Eucalyptus_fasciculosa,10,m,S,E_fasciculosa
Eucalyptus fastigata,Eucalyptus_fastigata,60,m,N,E_fastigata
Eucalyptus fibrosa subsp. nubila,Eucalyptus_fibrosa,35,m,N,E_fibrosa
Eucalyptus flavida,Eucalyptus_flavida,10,m,Y,E_flavida
Eucalyptus flindersii,Eucalyptus_flindersii,5,m,S,E_flindersii
Eucalyptus flocktoniae subsp. hebes,Eucalyptus_flocktoniae,8,m,Y,E_flocktoniae
Eucalyptus foecunda,Eucalyptus_foecunda,3,m,Y,E_foecunda
Eucalyptus foliosa,Eucalyptus_foliosa,3,m,Y,E_foliosa
Eucalyptus formanii,Eucalyptus_formanii,10,m,S,E_formanii
Eucalyptus forrestiana,Eucalyptus_forrestiana,4,m,N,E_forrestiana
Eucalyptus fraseri subsp. Melanobasis,Eucalyptus_fraseri_,15,m,N,E_fraseri 
Eucalyptus fraxinoides,Eucalyptus_fraxinoides,40,m,N,E_fraxinoides
Eucalyptus froggattii,Eucalyptus_froggattii,10,m,S,E_froggattii
Eucalyptus fruticosa,Eucalyptus_fruticosa,5,m,Y,E_fruticosa
Eucalyptus fulgens,Eucalyptus_fulgens,20,m,N,E_fulgens
Eucalyptus fusiformis,Eucalyptus_fusiformis,30,m,N,E_fusiformis
Eucalyptus gamophylla,Eucalyptus_gamophylla,8,m,Y,E_gamophylla
Eucalyptus gardneri subsp. gardneri,Eucalyptus_gardneri,12.5,m,N,E_gardneri
Eucalyptus georgei subsp. georgei,Eucalyptus_georgei,12,m,N,E_georgei
Eucalyptus gigantangion,Eucalyptus_gigantangion,30,m,N,E_gigantangion
Eucalyptus gillenii,Eucalyptus_gillenii,13,m,S,E_gillenii
Eucalyptus gillii,Eucalyptus_gillii,8,m,S,E_gillii
Eucalyptus gittinsii subsp. gittinsii,Eucalyptus_gittinsii,4.5,m,Y,E_gittinsii
Eucalyptus glaucescens,Eucalyptus_glaucescens,50,m,S,E_glaucescens
Eucalyptus glaucina,Eucalyptus_glaucina,20,m,N,E_glaucina
Eucalyptus globoidea,Eucalyptus_globoidea,40,m,N,E_globoidea
Eucalyptus globulus subsp. bicostata,Eucalyptus_globulus,52.5,m,N,E_globulus
Eucalyptus glomericassis,Eucalyptus_glomericassis,10,m,N,E_glomericassis
Eucalyptus glomerosa,Eucalyptus_glomerosa,5,m,Y,E_glomerosa
Eucalyptus gomphocephala,Eucalyptus_gomphocephala,40,m,,E_gomphocephala
