Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
120,NA,Eucalyptus ganophylla,0.1796,0.1879,0.1463,869,920,650,48.39,48.96,44.41,47.25,5.25,0.171,813,
121,Eucalyptus porosa,Eucalyptus porosa,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
122,NA,Eucalyptus parsa,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
123,Eucalyptus Salmonophloia,Eucalyptus Salmonophloia,0.1377,0.1829,0.1912,511,626,637,37.11,34.24,33.32,34.89,5.67,0.171,591,
124,NA,Eucalyptus eruthro,0.8912,1.5486,,2729,4275,,30.62,27.61,,29.11,7.33,1.22,3502,
125,NA,Eucalyptus wood,2.2313,1.1045,,6534,3631,,29.28,32.87,,31.08,8.17,1.668,5083,
126,NA,Eucalyptus tetrap,2.8026,2.3522,,4707,3911,,16.8,16.63,,16.71,0.71,2.577,4309,
127,NA,Eucalyptus torq,0.5368,0.4323,0.7447,1173,1279,1549,21.85,29.59,20.8,24.08,19.93,0.571,1334,
128,NA,Eucalyptus forrest,0.4107,0.4855,0.5753,1069,1228,1524,26.03,25.3,26.49,25.94,2.32,0.491,1274,
129,NA,Eucalyptus trus,0.0349,0.032,0.0273,162,137,151,46.32,42.74,55.3,48.12,13.44,0.031,150,
130,Eucalyptus caesia,Eucalyptus cassia,0.5084,0.654,0.805,1720,2030,2400,33.83,31.04,29.81,31.56,6.52,0.656,2050,
131,Eucalyptus conica,Eucalyptus conica,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
132,NA,Eucalyptus dianica,0.2393,0.2963,0.3702,1271,1630,1847,53.11,55.01,49.9,52.67,4.91,0.302,1583,
133,Eucalyptus melliodora,Eucalyptus melliodora,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
134,NA,Eucalyptus poly,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
135,NA,Eucalyptus allig,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
136,NA,Eucalyptus pilliga,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
137,NA,Eucalyptus molec,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
138,Eucalyptus fibrosa,Eucalyptus fibrosa,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
139,Eucalyptus crebra,Eucalyptus crebra,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
140,NA,Eucalyptus argo,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
141,NA,Eucalyptus sider,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
