species_height,accepted_name,coevol,mallee
Eucalyptus exserta,Eucalyptus_exserta,E_exserta,S
Eucalyptus extensa,Eucalyptus_extensa,E_extensa,N
Eucalyptus extrica,Eucalyptus_extrica,E_extrica,Y
Eucalyptus falcata,Eucalyptus_falcata,E_falcata,Y
Eucalyptus famelica,Eucalyptus_famelica,E_famelica,Y
Eucalyptus farinosa,Eucalyptus_farinosa,E_farinosa,N
Eucalyptus fasciculosa,Eucalyptus_fasciculosa,E_fasciculosa,S
Eucalyptus fastigata,Eucalyptus_fastigata,E_fastigata,N
Eucalyptus fibrosa subsp. nubila,Eucalyptus_fibrosa,E_fibrosa,N
Eucalyptus flavida,Eucalyptus_flavida,E_flavida,Y
Eucalyptus flindersii,Eucalyptus_flindersii,E_flindersii,S
Eucalyptus flocktoniae subsp. hebes,Eucalyptus_flocktoniae,E_flocktoniae,Y
Eucalyptus foecunda,Eucalyptus_foecunda,E_foecunda,Y
Eucalyptus foliosa,Eucalyptus_foliosa,E_foliosa,Y
Eucalyptus formanii,Eucalyptus_formanii,E_formanii,S
Eucalyptus forrestiana,Eucalyptus_forrestiana,E_forrestiana,N
Eucalyptus fraseri subsp. Melanobasis,Eucalyptus_fraseri_,E_fraseri ,N
Eucalyptus fraxinoides,Eucalyptus_fraxinoides,E_fraxinoides,N
Eucalyptus froggattii,Eucalyptus_froggattii,E_froggattii,S
Eucalyptus fruticosa,Eucalyptus_fruticosa,E_fruticosa,Y
Eucalyptus fulgens,Eucalyptus_fulgens,E_fulgens,N
Eucalyptus fusiformis,Eucalyptus_fusiformis,E_fusiformis,N
Eucalyptus gamophylla,Eucalyptus_gamophylla,E_gamophylla,Y
Eucalyptus gardneri subsp. gardneri,Eucalyptus_gardneri,E_gardneri,N
Eucalyptus georgei subsp. georgei,Eucalyptus_georgei,E_georgei,N
Eucalyptus gigantangion,Eucalyptus_gigantangion,E_gigantangion,N
Eucalyptus gillenii,Eucalyptus_gillenii,E_gillenii,S
Eucalyptus gillii,Eucalyptus_gillii,E_gillii,S
Eucalyptus gittinsii subsp. gittinsii,Eucalyptus_gittinsii,E_gittinsii,Y
Eucalyptus glaucescens,Eucalyptus_glaucescens,E_glaucescens,S
Eucalyptus glaucina,Eucalyptus_glaucina,E_glaucina,N
Eucalyptus globoidea,Eucalyptus_globoidea,E_globoidea,N
Eucalyptus globulus subsp. bicostata,Eucalyptus_globulus,E_globulus,N
Eucalyptus glomericassis,Eucalyptus_glomericassis,E_glomericassis,N
Eucalyptus glomerosa,Eucalyptus_glomerosa,E_glomerosa,Y
Eucalyptus gomphocephala,Eucalyptus_gomphocephala,E_gomphocephala,
Eucalyptus gongylocarpa,Eucalyptus_gongylocarpa,E_gongylocarpa,N
Eucalyptus goniantha subsp. goniantha,Eucalyptus_goniantha,E_goniantha,S
Eucalyptus goniantha subsp. semiglobosa,Eucalyptus_goniantha,E_goniantha,Y
Eucalyptus goniocalyx,Eucalyptus_goniocalyx,E_goniocalyx,N
Eucalyptus goniocarpa,Eucalyptus_goniocarpa,E_goniocarpa,N
Eucalyptus gracilis,Eucalyptus_gracilis,E_gracilis,S
Eucalyptus grandis,Eucalyptus_grandis,E_grandis,N
Eucalyptus granitica,Eucalyptus_granitica,E_granitica,N
Eucalyptus gregoriensis,Eucalyptus_gregoriensis,E_gregoriensis,S
Eucalyptus gregsoniana,Eucalyptus_gregsoniana,E_gregsoniana,Y
Eucalyptus griffithsii,Eucalyptus_griffithsii,E_griffithsii,Y
Eucalyptus grisea,Eucalyptus_grisea,E_grisea,N
Eucalyptus grossa,Eucalyptus_grossa,E_grossa,Y
Eucalyptus guilfoylei,Eucalyptus_guilfoylei,E_guilfoylei,N
Eucalyptus gunnii,Eucalyptus_gunnii,E_gunnii,N
Eucalyptus gypsophila,Eucalyptus_gypsophila,E_gypsophila,Y
Eucalyptus haemastoma,Eucalyptus_haemastoma,E_haemastoma,N
Eucalyptus hallii,Eucalyptus_hallii,E_hallii,N
Eucalyptus halophila,Eucalyptus_halophila,E_halophila,Y
Eucalyptus hebetifolia,Eucalyptus_hebetifolia,E_hebetifolia,Y
Eucalyptus helidonica,Eucalyptus_helidonica,E_helidonica,N
Eucalyptus herbertiana,Eucalyptus_herbertiana,E_herbertiana,S
Eucalyptus histophylla,Eucalyptus_histophylla,E_histophylla,Y
Eucalyptus horistes,Eucalyptus_horistes,E_horistes,S
Eucalyptus houseana,Eucalyptus_houseana,E_houseana,N
Eucalyptus howittiana,Eucalyptus_howittiana,E_howittiana,N
Eucalyptus hypolaena,Eucalyptus_hypolaena,E_hypolaena,S
Eucalyptus hypostomatica,Eucalyptus_hypostomatica,E_hypostomatica,N
Eucalyptus ignorabilis,Eucalyptus_ignorabilis,E_ignorabilis,N
Eucalyptus imitans,Eucalyptus_imitans,E_imitans,N
Eucalyptus imlayensis,Eucalyptus_imlayensis,E_imlayensis,Y
Eucalyptus impensa,Eucalyptus_impensa,E_impensa,Y
Eucalyptus incerata,Eucalyptus_incerata,E_incerata,Y
Eucalyptus incrassata,Eucalyptus_incrassata,E_incrassata,Y
Eucalyptus indurata,Eucalyptus_indurata,E_indurata,S
Eucalyptus infera,Eucalyptus_infera,E_infera,S
Eucalyptus insularis,Eucalyptus_insularis,E_insularis,Y
Eucalyptus interstans,Eucalyptus_interstans,E_interstans,N
Eucalyptus intertexta,Eucalyptus_intertexta,E_intertexta,S
Eucalyptus jacksonii,Eucalyptus_jacksonii,E_jacksonii,N
Eucalyptus jensenii,Eucalyptus_jensenii,E_jensenii,N
Eucalyptus johnsoniana,Eucalyptus_johnsoniana,E_johnsoniana,Y
Eucalyptus johnstonii,Eucalyptus_johnstonii,E_johnstonii,N
Eucalyptus jucunda,Eucalyptus_jucunda,E_jucunda,S
Eucalyptus jutsonii,Eucalyptus_jutsonii,E_jutsonii,Y
Eucalyptus kabiana,Eucalyptus_kabiana,E_kabiana,S
Eucalyptus kartzoffiana,Eucalyptus_kartzoffiana,E_kartzoffiana,N
Eucalyptus kenneallyi,Eucalyptus_kenneallyi,E_kenneallyi,N
Eucalyptus kessellii,Eucalyptus_kessellii,E_kessellii,S
